fecha,banco,tco,tx,monto_usd,timestamp_utc
2026-06-26,BCR,9.46,15,21481,2026-07-05T15:37:47.904646+00:00
2026-06-26,BISA,9.72,85,3957089,2026-07-05T15:37:47.904646+00:00
2026-06-26,BNA,9.7,1,7425,2026-07-05T15:37:47.904646+00:00
2026-06-26,BNB,9.75,2,1440469,2026-07-05T15:37:47.904646+00:00
2026-06-26,ECOFUTURO,,,,2026-07-05T15:37:47.904646+00:00
2026-06-26,ECONÓMICO,9.77,11,5194132,2026-07-05T15:37:47.904646+00:00
2026-06-26,FIE,,,,2026-07-05T15:37:47.904646+00:00
2026-06-26,FORTALEZA,9.82,1,400000,2026-07-05T15:37:47.904646+00:00
2026-06-26,GANADERO,9.78,147,3046253,2026-07-05T15:37:47.904646+00:00
2026-06-26,MERCANTIL,9.64,22,3150669,2026-07-05T15:37:47.904646+00:00
2026-06-26,PRODEM,,,,2026-07-05T15:37:47.904646+00:00
2026-06-26,PYME COM.,,,,2026-07-05T15:37:47.904646+00:00
2026-06-26,SOLIDARIO,9.63,4,105300,2026-07-05T15:37:47.904646+00:00
2026-06-26,UNIÓN,9.05,2,650,2026-07-05T15:37:47.904646+00:00
2026-06-29,BCR,9.67,15,99697,2026-06-30T20:59:12.130712+00:00
2026-06-29,BISA,9.73,5,2707410,2026-06-30T20:59:12.130712+00:00
2026-06-29,BNA,9.63,23,8870,2026-06-30T20:59:12.130712+00:00
2026-06-29,BNB,9.59,297,1421597,2026-06-30T20:59:12.130712+00:00
2026-06-29,ECOFUTURO,9.73,1,730,2026-06-30T20:59:12.130712+00:00
2026-06-29,ECONÓMICO,9.79,51,418104,2026-06-30T20:59:12.130712+00:00
2026-06-29,FIE,9.73,21,105419,2026-06-30T20:59:12.130712+00:00
2026-06-29,FORTALEZA,9.73,9,123435,2026-06-30T20:59:12.130712+00:00
2026-06-29,GANADERO,9.7,826,1721370,2026-06-30T20:59:12.130712+00:00
2026-06-29,MERCANTIL,9.8,239,9831975,2026-06-30T20:59:12.130712+00:00
2026-06-29,PRODEM,9.63,21,10687,2026-06-30T20:59:12.130712+00:00
2026-06-29,PYME COM.,9.73,8,7544,2026-06-30T20:59:12.130712+00:00
2026-06-29,SOLIDARIO,9.73,27,246271,2026-06-30T20:59:12.130712+00:00
2026-06-29,UNIÓN,9.73,116,676658,2026-06-30T20:59:12.130712+00:00
2026-06-30,BCR,9.78,20,2024916,2026-07-01T00:03:32.886575+00:00
2026-06-30,BISA,9.79,59,1521341,2026-07-01T00:03:32.886575+00:00
2026-06-30,BNA,9.66,26,6332,2026-07-01T00:03:32.886575+00:00
2026-06-30,BNB,9.57,189,492923,2026-07-01T00:03:32.886575+00:00
2026-06-30,ECOFUTURO,9.76,6,602,2026-07-01T00:03:32.886575+00:00
2026-06-30,ECONÓMICO,9.72,34,114942,2026-07-01T00:03:32.886575+00:00
2026-06-30,FIE,9.66,12,11564,2026-07-01T00:03:32.886575+00:00
2026-06-30,FORTALEZA,9.71,3,169833,2026-07-01T00:03:32.886575+00:00
2026-06-30,GANADERO,9.73,636,2793562,2026-07-01T00:03:32.886575+00:00
2026-06-30,MERCANTIL,9.77,177,1250939,2026-07-01T00:03:32.886575+00:00
2026-06-30,PRODEM,9.56,9,3759,2026-07-01T00:03:32.886575+00:00
2026-06-30,PYME COM.,9.76,3,244,2026-07-01T00:03:32.886575+00:00
2026-06-30,SOLIDARIO,9.79,32,1908014,2026-07-01T00:03:32.886575+00:00
2026-06-30,UNIÓN,9.76,100,96187,2026-07-01T00:03:32.886575+00:00
2026-07-01,BCR,9.77,36,993657,2026-07-02T04:16:00.691250+00:00
2026-07-01,BISA,9.79,70,14976501,2026-07-02T04:16:00.691250+00:00
2026-07-01,BNA,9.66,26,16886,2026-07-02T04:16:00.691250+00:00
2026-07-01,BNB,9.75,2008,2980659,2026-07-02T04:16:00.691250+00:00
2026-07-01,ECOFUTURO,9.36,3,3620,2026-07-02T04:16:00.691250+00:00
2026-07-01,ECONÓMICO,9.76,30,211466,2026-07-02T04:16:00.691250+00:00
2026-07-01,FIE,9.66,15,8284,2026-07-02T04:16:00.691250+00:00
2026-07-01,FORTALEZA,9.75,4,96871,2026-07-02T04:16:00.691250+00:00
2026-07-01,GANADERO,9.78,592,5914983,2026-07-02T04:16:00.691250+00:00
2026-07-01,MERCANTIL,9.56,360,406827,2026-07-02T04:16:00.691250+00:00
2026-07-01,PRODEM,9.36,13,5846,2026-07-02T04:16:00.691250+00:00
2026-07-01,PYME COM.,9.76,3,216,2026-07-02T04:16:00.691250+00:00
2026-07-01,SOLIDARIO,9.76,23,2633673,2026-07-02T04:16:00.691250+00:00
2026-07-01,UNIÓN,9.89,74,1623334,2026-07-02T04:16:00.691250+00:00
2026-07-02,BCR,9.86,36,1239519,2026-07-05T15:37:47.904646+00:00
2026-07-02,BISA,9.81,54,8452401,2026-07-05T15:37:47.904646+00:00
2026-07-02,BNA,9.77,24,27711,2026-07-05T15:37:47.904646+00:00
2026-07-02,BNB,9.78,1101,2567310,2026-07-05T15:37:47.904646+00:00
2026-07-02,ECOFUTURO,9.38,2,2640,2026-07-05T15:37:47.904646+00:00
2026-07-02,ECONÓMICO,9.78,36,1620163,2026-07-05T15:37:47.904646+00:00
2026-07-02,FIE,9.68,12,40169,2026-07-05T15:37:47.904646+00:00
2026-07-02,FORTALEZA,9.78,2,16,2026-07-05T15:37:47.904646+00:00
2026-07-02,GANADERO,9.78,551,5565363,2026-07-05T15:37:47.904646+00:00
2026-07-02,MERCANTIL,9.72,193,938532,2026-07-05T15:37:47.904646+00:00
2026-07-02,PRODEM,9.48,8,4502,2026-07-05T15:37:47.904646+00:00
2026-07-02,PYME COM.,9.78,3,2262,2026-07-05T15:37:47.904646+00:00
2026-07-02,SOLIDARIO,9.77,37,431372,2026-07-05T15:37:47.904646+00:00
2026-07-02,UNIÓN,9.78,75,209115,2026-07-05T15:37:47.904646+00:00
2026-07-03,BCR,9.88,24,1465788,2026-07-05T21:40:16.435902+00:00
2026-07-03,BISA,9.84,51,2150476,2026-07-05T21:40:16.435902+00:00
2026-07-03,BNA,9.7,10,11336,2026-07-05T21:40:16.435902+00:00
2026-07-03,BNB,9.8,1075,2165993,2026-07-05T21:40:16.435902+00:00
2026-07-03,ECOFUTURO,9.4,5,3815,2026-07-05T21:40:16.435902+00:00
2026-07-03,ECONÓMICO,9.89,38,1754919,2026-07-05T21:40:16.435902+00:00
2026-07-03,FIE,9.7,8,761,2026-07-05T21:40:16.435902+00:00
2026-07-03,FORTALEZA,9.81,3,1133622,2026-07-05T21:40:16.435902+00:00
2026-07-03,GANADERO,9.81,569,8446426,2026-07-05T21:40:16.435902+00:00
2026-07-03,MERCANTIL,9.84,150,3817857,2026-07-05T21:40:16.435902+00:00
2026-07-03,PRODEM,9.7,7,18491,2026-07-05T21:40:16.435902+00:00
2026-07-03,PYME COM.,9.8,3,64,2026-07-05T21:40:16.435902+00:00
2026-07-03,SOLIDARIO,9.85,22,802413,2026-07-05T21:40:16.435902+00:00
2026-07-03,UNIÓN,9.8,83,318733,2026-07-05T21:40:16.435902+00:00
2026-07-06,BCR,9.93,12,1393544,2026-07-07T04:10:51.401430+00:00
2026-07-06,BISA,9.88,55,3646488,2026-07-07T04:10:51.401430+00:00
2026-07-06,BNA,9.8,30,17609,2026-07-07T04:10:51.401430+00:00
2026-07-06,BNB,9.8,172,153596,2026-07-07T04:10:51.401430+00:00
2026-07-06,ECOFUTURO,9.43,3,47414,2026-07-07T04:10:51.401430+00:00
2026-07-06,ECONÓMICO,9.89,28,1198507,2026-07-07T04:10:51.401430+00:00
2026-07-06,FIE,9.73,17,15603,2026-07-07T04:10:51.401430+00:00
2026-07-06,FORTALEZA,9.76,9,13299,2026-07-07T04:10:51.401430+00:00
2026-07-06,GANADERO,9.71,562,1696172,2026-07-07T04:10:51.401430+00:00
2026-07-06,MERCANTIL,10.0,212,2540863,2026-07-07T04:10:51.401430+00:00
2026-07-06,PRODEM,9.73,9,4406,2026-07-07T04:10:51.401430+00:00
2026-07-06,PYME COM.,9.83,4,7049,2026-07-07T04:10:51.401430+00:00
